task; start_time; stop_time; stage; iteration; instance
54be809b2330e01935d9c3b2; 2015-01-20 16:21:59.554000; 2015-01-20 16:21:59.572000; sim ;1 ;1
54be809b2330e01935d9c3b3; 2015-01-20 16:21:59.396000; 2015-01-20 16:21:59.413000; sim ;1 ;2
54be809b2330e01935d9c3b4; 2015-01-20 16:21:59.435000; 2015-01-20 16:21:59.453000; sim ;1 ;3
54be809b2330e01935d9c3b5; 2015-01-20 16:21:59.595000; 2015-01-20 16:21:59.613000; sim ;1 ;4
54be809b2330e01935d9c3b6; 2015-01-20 16:21:59.247000; 2015-01-20 16:21:59.264000; sim ;1 ;5
54be809b2330e01935d9c3b7; 2015-01-20 16:21:59.513000; 2015-01-20 16:21:59.530000; sim ;1 ;6
54be809b2330e01935d9c3b8; 2015-01-20 16:21:59.673000; 2015-01-20 16:21:59.692000; sim ;1 ;7
54be809b2330e01935d9c3b9; 2015-01-20 16:21:59.358000; 2015-01-20 16:21:59.375000; sim ;1 ;8
54be809b2330e01935d9c3ba; 2015-01-20 16:21:59.791000; 2015-01-20 16:21:59.809000; sim ;1 ;9
54be809b2330e01935d9c3bb; 2015-01-20 16:21:59.631000; 2015-01-20 16:21:59.651000; sim ;1 ;10
54be809b2330e01935d9c3bc; 2015-01-20 16:21:59.829000; 2015-01-20 16:21:59.847000; sim ;1 ;11
54be809b2330e01935d9c3bd; 2015-01-20 16:21:59.319000; 2015-01-20 16:21:59.336000; sim ;1 ;12
54be809b2330e01935d9c3be; 2015-01-20 16:21:59.474000; 2015-01-20 16:21:59.492000; sim ;1 ;13
54be809b2330e01935d9c3bf; 2015-01-20 16:21:59.754000; 2015-01-20 16:21:59.771000; sim ;1 ;14
54be809b2330e01935d9c3c0; 2015-01-20 16:21:59.714000; 2015-01-20 16:21:59.732000; sim ;1 ;15
54be809b2330e01935d9c3c1; 2015-01-20 16:21:59.284000; 2015-01-20 16:21:59.300000; sim ;1 ;16
54be80a72330e01935d9c3c2; 2015-01-20 16:22:00.670000; 2015-01-20 16:22:00.897000; ana; 1;1
