uid, step, Scheduling, StagingInput, Allocating, Executing, AgentStagingOutputPending, Done

unit.000000, step_1, 1444761100.14, 1444761101.3, 1444761100.14, 1444761106.85, 1444761106.96, 1444761108.64
unit.000001, step_1, 1444761100.14, 1444761101.43, 1444761100.14, 1444761107.66, 1444761107.94, 1444761109.81
unit.000002, step_1, 1444761100.14, 1444761101.7, 1444761100.14, 1444761109.5, 1444761109.69, 1444761110.1
unit.000003, step_1, 1444761100.14, 1444761101.36, 1444761100.14, 1444761107.2, 1444761107.42, 1444761108.71
unit.000004, step_1, 1444761100.14, 1444761101.36, 1444761100.14, 1444761107.44, 1444761107.65, 1444761108.71
unit.000005, step_1, 1444761100.14, 1444761101.57, 1444761100.14, 1444761108.58, 1444761108.79, 1444761109.96
unit.000006, step_1, 1444761100.14, 1444761101.64, 1444761100.14, 1444761109.26, 1444761109.49, 1444761110.03
unit.000007, step_1, 1444761100.15, 1444761101.3, 1444761100.15, 1444761106.97, 1444761107.19, 1444761108.64
unit.000008, step_1, 1444761100.15, 1444761101.44, 1444761100.15, 1444761107.95, 1444761108.13, 1444761109.81
unit.000009, step_1, 1444761100.15, 1444761101.63, 1444761100.15, 1444761109.02, 1444761109.25, 1444761110.03
unit.000010, step_1, 1444761100.15, 1444761101.71, 1444761100.15, 1444761109.7, 1444761109.86, 1444761111.13
unit.000011, step_1, 1444761100.15, 1444761101.77, 1444761100.15, 1444761110.05, 1444761110.22, 1444761111.21
unit.000012, step_1, 1444761100.15, 1444761101.5, 1444761100.15, 1444761108.37, 1444761108.57, 1444761109.88
unit.000013, step_1, 1444761100.15, 1444761101.5, 1444761100.15, 1444761108.15, 1444761108.36, 1444761109.88
unit.000014, step_1, 1444761100.15, 1444761101.77, 1444761100.15, 1444761109.91, 1444761110.05, 1444761111.21
unit.000015, step_1, 1444761100.15, 1444761101.57, 1444761100.15, 1444761108.8, 1444761109.01, 1444761109.96
unit.000016, step_2, 1444761112.69, 1444761113.57, 1444761112.69, 1444761132.85, 1444761134.68, 1444761136.17
unit.000017, step_2, 1444761112.69, 1444761113.62, 1444761112.69, 1444761134.72, 1444761136.27, 1444761137.47
unit.000018, step_2, 1444761112.69, 1444761113.63, 1444761112.69, 1444761136.28, 1444761137.87, 1444761139.68
unit.000019, step_2, 1444761112.69, 1444761113.22, 1444761112.69, 1444761113.57, 1444761115.23, 1444761117.15
unit.000020, step_2, 1444761112.7, 1444761113.69, 1444761112.7, 1444761137.93, 1444761139.65, 1444761140.98
unit.000021, step_2, 1444761112.7, 1444761113.42, 1444761112.7, 1444761124.7, 1444761126.25, 1444761127.96
unit.000022, step_2, 1444761112.7, 1444761113.43, 1444761112.7, 1444761126.27, 1444761127.85, 1444761129.41
unit.000023, step_2, 1444761112.7, 1444761113.56, 1444761112.7, 1444761131.25, 1444761132.84, 1444761133.69
unit.000024, step_2, 1444761112.7, 1444761113.23, 1444761112.7, 1444761115.25, 1444761117.14, 1444761118.59
unit.000025, step_2, 1444761112.7, 1444761113.7, 1444761112.7, 1444761139.66, 1444761141.25, 1444761143.2
unit.000026, step_2, 1444761112.7, 1444761113.29, 1444761112.7, 1444761117.2, 1444761119.02, 1444761119.89
unit.000027, step_2, 1444761112.7, 1444761113.3, 1444761112.7, 1444761119.03, 1444761120.97, 1444761123.14
unit.000028, step_2, 1444761112.7, 1444761113.49, 1444761112.7, 1444761127.89, 1444761129.55, 1444761130.85
unit.000029, step_2, 1444761112.7, 1444761113.35, 1444761112.7, 1444761121.02, 1444761122.81, 1444761123.55
unit.000030, step_2, 1444761112.7, 1444761113.36, 1444761112.7, 1444761122.82, 1444761124.66, 1444761126.52
unit.000031, step_2, 1444761112.7, 1444761113.5, 1444761112.7, 1444761129.56, 1444761131.2, 1444761133.27
unit.000032, step_3, 1444761144.41, 1444761145.22, 1444761144.41, 1444761146.68, 1444761146.8, 1444761149.93
unit.000033, step_3, 1444761144.41, 1444761145.07, 1444761144.41, 1444761146.11, 1444761146.14, 1444761148.89
