uid, iter, step, Scheduling, StagingInput, Allocating, Executing, AgentStagingOutputPending, Done

unit.000000, 0, pre_loop, 1444761405.86, 1444761406.08, 1444761411.79, 1444761411.8, 1444761411.91, 1444761413.38
unit.000001, 1, sim, 1444761413.76, 1444761414.28, 1444761414.42, 1444761414.57, 1444761414.69, 1444761415.66
unit.000002, 1, sim, 1444761413.76, 1444761414.63, 1444761414.83, 1444761416.03, 1444761416.15, 1444761416.9
unit.000003, 1, sim, 1444761413.76, 1444761414.54, 1444761414.72, 1444761415.63, 1444761415.75, 1444761416.7
unit.000004, 1, sim, 1444761413.76, 1444761414.36, 1444761414.52, 1444761414.96, 1444761415.08, 1444761415.79
unit.000005, 1, sim, 1444761413.76, 1444761414.48, 1444761414.63, 1444761415.48, 1444761415.48, 1444761416.56
unit.000006, 1, sim, 1444761413.76, 1444761414.61, 1444761414.83, 1444761415.89, 1444761416.01, 1444761416.83
unit.000007, 1, sim, 1444761413.76, 1444761414.69, 1444761414.85, 1444761416.16, 1444761416.28, 1444761416.97
unit.000008, 1, sim, 1444761413.77, 1444761414.56, 1444761414.72, 1444761415.76, 1444761415.88, 1444761416.76
unit.000009, 1, sim, 1444761413.77, 1444761414.75, 1444761414.92, 1444761416.29, 1444761416.42, 1444761418.07
unit.000010, 1, sim, 1444761413.77, 1444761414.49, 1444761414.63, 1444761415.5, 1444761415.62, 1444761416.63
unit.000011, 1, sim, 1444761413.77, 1444761414.41, 1444761414.62, 1444761415.1, 1444761415.22, 1444761415.86
unit.000012, 1, sim, 1444761413.77, 1444761414.68, 1444761414.84, 1444761414.85, 1444761414.95, 1444761415.93
unit.000013, 1, sim, 1444761413.77, 1444761414.43, 1444761414.62, 1444761415.23, 1444761415.35, 1444761416.49
unit.000014, 1, sim, 1444761413.77, 1444761414.34, 1444761414.52, 1444761414.7, 1444761414.84, 1444761415.73
unit.000015, 1, sim, 1444761413.77, 1444761414.14, 1444761414.35, 1444761414.35, 1444761414.43, 1444761415.52
unit.000016, 1, sim, 1444761413.77, 1444761414.21, 1444761414.42, 1444761414.45, 1444761414.56, 1444761415.58
unit.000017, 1, ana, 1444761419.13, 1444761419.94, 1444761420.14, 1444761420.15, 1444761420.68, 1444761421.99
